algorithm,size,input_type,run_count,avg_time,min_time,max_time,avg_comparisons,avg_moves,avg_recursive_calls,valid
Bubble Sort,100,aleator,3,0.0008961000003182562,0.000889300001290394,0.0009012999998958549,4674,2281,0,True
Quick Sort,100,aleator,3,0.00032666666750931955,0.00023740000142424833,0.0004146000010223361,1028,1352,137,True
Merge Sort,100,aleator,3,0.000295933332987867,0.0002777999998215819,0.0003099999994446989,544,672,199,True
Bubble Sort,100,sortat_crescator,3,1.559999933912574e-05,1.1899999663000926e-05,2.2899999748915434e-05,99,0,0,True
Quick Sort,100,sortat_crescator,3,0.0002071666664657338,0.00018369999997958075,0.00024309999935212545,825,1086,127,True
Merge Sort,100,sortat_crescator,3,0.000227666666736089,0.00021800000104121864,0.00024189999930968042,316,672,199,True
Bubble Sort,100,sortat_descrescator,3,0.0015448333330520352,0.0015026999990368495,0.0016187000001082197,4950,4950,0,True
Quick Sort,100,sortat_descrescator,3,0.00023390000084570298,0.0001858000014181016,0.00028670000028796494,867,1086,127,True
Merge Sort,100,sortat_descrescator,3,0.00022733333328991043,0.00022290000015345868,0.000234499999351101,356,672,199,True
Bubble Sort,100,multe_duplicate,3,0.0011087666668269474,0.0010558000012679258,0.0011479999993753154,4895,2632,0,True
Quick Sort,100,multe_duplicate,3,0.00015203333290022178,0.00013669999862031545,0.00017970000044442713,702,806,23,True
Merge Sort,100,multe_duplicate,3,0.00027076666689633083,0.0002523000002838671,0.00030530000003636815,532,672,199,True
Bubble Sort,100,aproape_sortat,3,0.0006999999999000769,0.0006163999987620628,0.000806199999715318,4389,277,0,True
Quick Sort,100,aproape_sortat,3,0.00020030000026357206,0.00019430000065767672,0.0002057999990938697,845,1102,129,True
Merge Sort,100,aproape_sortat,3,0.00024393333296757191,0.00023439999858965166,0.00025860000096145086,429,672,199,True
Bubble Sort,500,aleator,3,0.028640133333586466,0.028270200000406476,0.028879600000436767,123372,62680,0,True
Quick Sort,500,aleator,3,0.0017560000002655822,0.00163790000078734,0.0018619999991642544,8110,10098,663,True
Merge Sort,500,aleator,3,0.0018613666670717066,0.0017238000000361353,0.0020552000005409354,3870,4488,999,True
Bubble Sort,500,sortat_crescator,3,6.263333307288121e-05,6.159999975352548e-05,6.450000000768341e-05,499,0,0,True
Quick Sort,500,sortat_crescator,3,0.0012490000002192876,0.001198899999508285,0.0013478000000759494,5724,7498,509,True
Merge Sort,500,sortat_crescator,3,0.0015751333333658597,0.0014649999993707752,0.0016668000007484807,2216,4488,999,True
Bubble Sort,500,sortat_descrescator,3,0.04008133333324319,0.03675629999997909,0.04439509999974689,124750,124750,0,True
Quick Sort,500,sortat_descrescator,3,0.0013883999999961816,0.0011592999999265885,0.001736299998810864,5784,7506,511,True
Merge Sort,500,sortat_descrescator,3,0.0017408999998830648,0.001639699999941513,0.0018691000004764646,2272,4488,999,True
Bubble Sort,500,multe_duplicate,3,0.025524599999698694,0.02493479999975534,0.026426599999467726,123475,53134,0,True
Quick Sort,500,multe_duplicate,3,0.0005882666670610585,0.0005316999995557126,0.0006499000010080636,2966,4398,23,True
Merge Sort,500,multe_duplicate,3,0.001765233333571814,0.0017492000006313901,0.0017917999994097045,3787,4488,999,True
Bubble Sort,500,aproape_sortat,3,0.01774883333321971,0.016744799999287352,0.01874889999999141,119290,5943,0,True
Quick Sort,500,aproape_sortat,3,0.0015026333336815394,0.0012342000009084586,0.0018018999999185326,5880,7780,607,True
Merge Sort,500,aproape_sortat,3,0.001924166667474007,0.0018904000007751165,0.0019821000005322276,3270,4488,999,True
Bubble Sort,1000,aleator,3,0.11627666666693888,0.10414809999929275,0.12465400000110094,498972,253544,0,True
Quick Sort,1000,aleator,3,0.006594866665788383,0.005224199998338008,0.008285699999760254,18901,24026,1315,True
Merge Sort,1000,aleator,3,0.0038601666662240555,0.003472899999906076,0.004607999999279855,8734,9976,1999,True
Bubble Sort,1000,sortat_crescator,3,0.0001304333333488709,0.00012629999946511816,0.00013770000077784061,999,0,0,True
Quick Sort,1000,sortat_crescator,3,0.002425099999527447,0.002411999999822001,0.002437099999951897,12948,16994,1023,True
